,raw
1063,0.785
1064,0.76
1065,0.68
1066,0.765
1067,0.81
1068,0.76
1069,0.775
1070,0.7
1071,0.785
1072,0.8
1073,0.775
1074,0.78
1075,0.72
1076,0.775
1077,0.83
1078,0.8
1079,0.825
1080,0.7
1081,0.795
1082,0.83
1083,0.83
1084,0.815
1085,0.73
1086,0.795
1087,0.825
1088,0.805
1089,0.82
1090,0.715
1091,0.805
1092,0.83
1093,0.83
1094,0.81
1095,0.72
1096,0.795
1097,0.85
1098,0.835
1099,0.805
1100,0.73
1101,0.79
1102,0.815
1103,0.825
1104,0.845
1105,0.755
1106,0.81
1107,0.82
1108,0.84
1109,0.815
1110,0.745
1111,0.805
1112,0.81
1113,0.81
1114,0.845
1115,0.725
1116,0.81
1117,0.86
1118,0.83
1119,0.805
1120,0.765
1121,0.85
1122,0.89
1123,0.89
1124,0.86
1125,0.77
1126,0.865
1127,0.855
1128,0.88
1129,0.85
1130,0.755
1131,0.825
1132,0.86
1133,0.86
1134,0.84
1135,0.755
1136,0.835
1137,0.845
1138,0.83
1139,0.845
1140,0.765
1141,0.8
1142,0.85
1143,0.84
1144,0.835
1145,0.745
1146,0.81
1147,0.855
1148,0.825
1149,0.865
1150,0.755
1151,0.83
1152,0.84
1153,0.855
1154,0.855
1155,0.795
1156,0.835
1157,0.875
1158,0.84
1159,0.825
1160,0.76
1161,0.845
1162,0.865
1163,0.865
1164,0.835
1165,0.75
1166,0.86
1167,0.89
1168,0.85
1169,0.84
1170,0.715
1171,0.845
1172,0.86
1173,0.88
1174,0.845
1175,0.755
1176,0.84
1177,0.88
1178,0.84
1179,0.82
1180,0.765
1181,0.86
1182,0.86
1183,0.86
1184,0.83
1185,0.75
1186,0.84
1187,0.86
1188,0.845
1189,0.85
1190,0.76
1191,0.865
1192,0.835
1193,0.84
1194,0.84
1195,0.79
1196,0.845
1197,0.84
1198,0.83
1199,0.84
1200,0.5
1201,0.49
1202,0.52
1203,0.535
1204,0.555
1205,0.52
1206,0.52
1207,0.51
1208,0.53
1209,0.645
1210,0.545
1211,0.54
1212,0.58
1213,0.515
1214,0.61
1215,0.52
1216,0.535
1217,0.595
1218,0.58
1219,0.59
1220,0.545
1221,0.63
1222,0.6
1223,0.635
1224,0.645
1225,0.57
1226,0.605
1227,0.595
1228,0.61
1229,0.68
1230,0.555
1231,0.57
1232,0.67
1233,0.63
1234,0.69
1235,0.565
1236,0.6
1237,0.63
1238,0.67
1239,0.665
1240,0.575
1241,0.62
1242,0.615
1243,0.69
1244,0.695
1245,0.545
1246,0.615
1247,0.645
1248,0.69
1249,0.725
1250,0.535
1251,0.655
1252,0.705
1253,0.72
1254,0.725
1255,0.595
1256,0.685
1257,0.69
1258,0.73
1259,0.735
1260,0.615
1261,0.655
1262,0.665
1263,0.725
1264,0.68
1265,0.6
1266,0.655
1267,0.67
1268,0.72
1269,0.705
1270,0.605
1271,0.62
1272,0.695
1273,0.685
1274,0.735
1275,0.58
1276,0.695
1277,0.69
1278,0.715
1279,0.745
1280,0.595
1281,0.665
1282,0.705
1283,0.71
1284,0.73
1285,0.59
1286,0.68
1287,0.73
1288,0.715
1289,0.715
1290,0.64
1291,0.67
1292,0.69
1293,0.72
1294,0.725
1295,0.62
1296,0.67
1297,0.745
1298,0.715
1299,0.745
1300,0.61
1301,0.695
1302,0.74
1303,0.7
1304,0.745
1305,0.625
1306,0.675
1307,0.73
1308,0.755
1309,0.76
1310,0.635
1311,0.73
1312,0.755
1313,0.765
1314,0.765
1315,0.62
1316,0.705
1317,0.735
1318,0.745
1319,0.755
1320,0.605
1321,0.7
1322,0.755
1323,0.73
1324,0.74
1325,0.64
1326,0.72
1327,0.75
1328,0.75
1329,0.74
1330,0.65
1331,0.7
1332,0.74
1333,0.745
1334,0.765
1335,0.645
1336,0.695
1337,0.765
1338,0.745
1339,0.76
1340,0.67
1341,0.69
1342,0.73
1343,0.745
1344,0.755
1345,0.655
1346,0.725
1347,0.725
1348,0.745
1349,0.755
1350,0.635
1351,0.705
1352,0.725
1353,0.755
1354,0.745
1355,0.665
1356,0.715
1357,0.735
1358,0.75
1359,0.74
1360,0.655
1361,0.73
1362,0.735
1363,0.745
1364,0.735
1365,0.67
1366,0.695
1367,0.75
1368,0.75
1369,0.74
1370,0.685
1371,0.715
1372,0.755
1373,0.75
1374,0.76
1375,0.645
1376,0.74
1377,0.735
1378,0.74
1379,0.73
1380,0.665
1381,0.705
1382,0.755
1383,0.74
1384,0.73
1385,0.65
1386,0.71
1387,0.765
1388,0.73
1389,0.745
1390,0.645
1391,0.7
1392,0.74
1393,0.775
1394,0.735
1395,0.675
1396,0.705
1397,0.73
1398,0.76
1399,0.72
1400,0.5
1401,0.55
1402,0.51
1403,0.52
1404,0.5
1405,0.55
1406,0.54
1407,0.55
1408,0.59
1409,0.565
1410,0.55
1411,0.65
1412,0.545
1413,0.615
1414,0.635
1415,0.615
1416,0.64
1417,0.59
1418,0.595
1419,0.67
1420,0.575
1421,0.655
1422,0.675
1423,0.63
1424,0.67
1425,0.585
1426,0.625
1427,0.61
1428,0.64
1429,0.665
1430,0.605
1431,0.635
1432,0.625
1433,0.645
1434,0.69
1435,0.63
1436,0.65
1437,0.65
1438,0.625
1439,0.665
1440,0.62
1441,0.68
1442,0.645
1443,0.635
1444,0.655
1445,0.635
1446,0.65
1447,0.71
1448,0.665
1449,0.7
1450,0.61
1451,0.655
1452,0.69
1453,0.645
1454,0.715
1455,0.605
1456,0.73
